Date,Overall Sentiment,,,,,,,,,,,,
9/26/2014,0,,,,,,,,,,,,
9/27/2014,0,,,,,,,,,,,,
9/28/2014,0,,,,,,,,,,,,
9/29/2014,0,,,,,,,,,,,,
9/30/2014,0,,,,,,,,,,,,
10/1/2014,0,,,,,,,,,,,,
10/2/2014,0,,,,,,,,,,,,
10/3/2014,-1,,,,,,,,,,,,
10/4/2014,-1,,,,,,,,,,,,
10/5/2014,0,,,,,LSTM,BiLSTM,HRB-GNN,,,LSTM,BiLSTM,HRB-GNN
10/6/2014,0,,,,RMSE(AMD),0.08583,0.31048,0.01853,,RMSE(NFLX),0.0536,0.15379,0.01885
10/7/2014,0,,,,MSE(AMD),0.00737,0.0964,0.00034,,MSE(NFLX),0.00287,0.02365,0.00036
10/8/2014,0,,,,MAE(AMD),0.07322,0.2732,0.01378,,MAE(NFLX),0.04244,0.13048,0.0129
10/9/2014,0,,,,RMSE(APA),0.02856,0.03529,0.01305,,RMSE(AAL),0.01823,0.01474,0.01504
10/10/2014,0,,,,MSE(APA),0.00082,0.00125,0.00017,,MSE(AAL),0.00033,0.00022,0.00023
10/11/2014,0,,,,MAE(APA),0.0223,0.02677,0.00966,,MAE(AAL),0.01339,0.01006,0.01067
10/12/2014,0,,,,,,,,,,,,
10/13/2014,0,,,,,,,,,,,,
10/14/2014,0,,,,,,,,,,,,
10/15/2014,-1,,,,,,,,,,,,
10/16/2014,0,,,,,,,,,,,,
10/17/2014,-1,,,,,,,,,,,,
10/18/2014,0,,,,,,,,,,,,
10/19/2014,0,,,,,,,,,,,,
10/20/2014,0,,,,,,,,,,,,
