Date,Overall Sentiment
2016-02-24,1
2016-02-25,1
2016-02-26,1
2016-02-27,1
2016-02-28,1
2016-02-29,1
2016-03-01,1
2016-03-02,1
2016-03-03,1
2016-03-04,-1
2016-03-05,1
2016-03-06,-1
2016-03-07,1
2016-03-08,1
2016-03-09,1
2016-03-10,1
2016-03-11,1
2016-03-12,1
2016-03-13,1
2016-03-14,1
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,1
2016-03-19,1
2016-03-20,1
2016-03-21,0
2016-03-22,-1
2016-03-23,1
2016-03-24,1
2016-03-25,1
2016-03-26,1
2016-03-27,1
2016-03-28,1
2016-03-29,-1
2016-03-30,1
2016-03-31,1
2016-04-01,1
2016-04-02,-1
2016-04-03,-1
2016-04-04,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-08,1
2016-04-09,1
2016-04-10,1
2016-04-11,1
2016-04-12,-1
2016-04-13,1
2016-04-14,1
2016-04-15,1
2016-04-16,1
2016-04-17,1
2016-04-18,1
2016-04-19,1
2016-04-20,1
2016-04-21,1
2016-04-22,-1
2016-04-23,1
2016-04-24,1
2016-04-25,1
2016-04-26,1
2016-04-27,1
2016-04-28,1
2016-04-29,1
2016-04-30,1
2016-05-01,1
2016-05-02,1
2016-05-03,-1
